Serial No.,College Name,Info Data
69,Chennai Institute of Technology - [CIT],"Chennai Institute of Technology (CIT) is an independent institution situated in Kundrathur, Chennai, Tamil Nadu, India. CIT is an affiliate of Anna University and is recognized by AICTE and UGC. According to the NIRF 2023 ranking, the institute is ranked among the 151-200th engineering colleges."
70,Institute of Aeronautical Engineering - [IARE],"Institute of Aeronautical Engineering (IARE), Hyderabad was established in the year 2000 and is run by Maruthi Educational Society. It is the first institute to start a B.Tech program in Aeronautical Engineering in the state of Telangana and has gradually transformed itself into an integrated multi-disciplinary technological institute. IARE is a prestigious engineering college offering eleven B.Tech programs, six M.Tech programs and MBA (Master of Business Administration) course under four specialization, with 20 years of rich standing in the educational sphere."
71,Nitte Meenakshi Institute of Technology - [NMIT],"Nitte Meenakshi Institute of Technology (NMIT) is an autonomous engineering college in Bangalore, Karnataka. The college is approved by the AICTE, New Delhi and was started in the year 2001. It offers undergraduate and postgraduate courses in the discipline of Engineering & Technology and Management. Admission to NMIT depends on the performance of the candidates in various State/ National level entrance examinations."
72,Sri Venkateswara College of Engineering - [SVCE],"Sri Venkateswara College of Engineering, Kanchipuram, established in 1985, is one of the topmost institutes in India. It offers 23 UG full-time courses and 11 PG full-time courses. It is a premier institution for B.E. / B. Tech, M.E./M. Tech courses. It offers the opportunity to pursue multiple range of courses. The courses of this institute are acknowledged by AICTE. The admission process is online, and admission is done as per TNEA score."
73,Rajalakshmi Engineering College - [REC],"Rajalakshmi Engineering College [REC], Chennai accredited with ‘A’ Grade by NAAC is an academic Engineering college. Having secured 8th Rank by Anna University, the college has signed over 15 MOU’s with various international universities for academic development. It is ranked 106th by NIRF among all engineering colleges in India. The institute is listed among the Top 5 Engineering Colleges in Tamil Nadu."
74,PES University - [PESU],"PES University was established in 1972 as the PES Institute of Technology, later renamed in 2013. The university is located in Bangalore, Karnataka and is recognized by UGC and the Government of Karnataka. PES (People’s Education Society) University is a private NAAC-accredited university approved by AICTE. The university is spread over an area of 30 acres. PES University Bangalore offers UG, PG, Executive and Research programs in Engineering, Law, Commerce & Management, Architecture, Design, Science & Humanities, Pharmaceutical Sciences, etc."
75,Heritage Institute of Technology - [HIT],
76,Sri Krishna College of Technology - [SKCT],"Sri Krishna College of Technology abbreviated as SKCT was established in the year of 1985. The college provides undergraduate and postgraduate courses such as BE/ B.Tech, ME/ M.Tech, MCA, and MBA under 7 different specializations. Admission to the College is based on the score obtained by the candidates in the respective entrance exams such as TNEA, TANCET/ GATE, MAT/ XAT/ ATMA, UGC-NET followed by the counseling process. Looking at the placement record, more than 150 companies visit the college for placement and there are 800+ offers every year. The highest salary package stands at INR 28 LPA."
77,PSNA College of Engineering and Technology,"PSNA College of Engineering and Technology is a private college, located in Din Digul Tamil Nadu. It was established in 1984. It is affiliated to Anna University, Chennai. It offers a wide range of Specializations in Bachelor of Engineering, Bachelor of Technology, Master of Engineering, Master in Business Administration, Master in Computer Application."
78,BV Raju Institute of Technology - [BVRIT],"BV Raju Institute of Technology (BVRIT), Hyderabad was established by the eminent philanthropist (Late) Padmabhushan Dr. B.V. Raju under the aegis of Sri Vishnu Educational Society (SVES) in the year 1997. This institution is also looked after by a body of distinguished professionals from IITs, engineering and government sectors, led by Sri K.V.Vishnu Raju Garu. The purpose of establishing BVRIT was to provide quality technical education in a perfect ambiance for the all-round development of a student. Under the hegemony of the Chairman, Sri K.V.Vishnu Raju, BVRIT made a quantum leap in its reputation for its best teaching-learning practices, high-quality intake, excellent infrastructure facilities, the highest number of placements, etc. The institute offers undergraduate and postgraduate programs in the discipline of Admission is done on the basis of entrance exam and criteria of the institute."
79,University of Petroleum and Energy Studies - [UPES],"Every B-school has its unique strengths and so does UPES Dehradun which is famous for its domain-specific MBA. If you are willing to pursue an MBA in oil and gas, power management, or energy trading, choosing UPES Dehradun will be the right decision. It offers a plethora of opportunities in these domains and the ROI is also great. There are some industry-specific courses too but their placements are just average."
80,Vardhaman College of Engineering - [VCE],Admission to all courses have begun and applicants are required to sit for EAMCET Examination for BTech and MBA aspirants must sit for ICET.
81,BMS Institute of Technology and Management - [BMSIT],"BMS Institute of Technology and Management was established in 2002 and located in Bangalore. It is affiliated to Visvesvaraya Technological University, Belagavi, and recognized by AICTE and NBA. BMSIT is a private institute that scored a high rank of 169 in NIRF. The admission to BMSIT is based on the entrance exam or score secured in the previous course. It is a famous Engineering college, which ensures placements for every student. BMSIT offers UG, PG, MCA, MS, and Ph.D."
82,B. N. M. Institute of Technology - [BNMIT],"BNM Institute of Technology (BNMIT), Bangalore is an autonomous college under VTU established in the year 2001. BNMIT has been rated in the Diamond category and recognized by QS I-GAUGE for Excellence in Academic Digitization and Online Education. The institute offers undergraduate, postgraduate and doctoral courses in the discipline of Engineering and Technology. Admission to BNMIT Bangalore is done on the basis of national and state entrance exams. In addition to this, BNMIT’s placement cell has trained more than 6500 students with more than 400 companies visiting the campus. More than 5000 job offers have been offered in the last 16 years. The highest package offered at BNM Institute of Technology is INR 40 LPA and the average salary is INR 6.36 LPA. Some of the top recruiters are Amazon, Google, Linkedin, Samsung, Flipkart, Bosch, Wipro, Toyota, HCL, Dell, Infosys, etc."
